T1		T2		T3		T4		T5		T6		T7		T8	
116.1	Building Blocks	82.9	Computer	83	Computer	431.2	Building Blocks	282.3	Computer	531.3	Computer	83	Building Blocks	498.2	Building Blocks
514.1	Building Blocks	232.3	Computer	83.2	Computer	663.7	Building Blocks	149.5	Computer	199.4	Computer	149.3	Building Blocks	331.8	Building Area
82.9	Building Area	348.3	Computer	116.1	Computer	646.9	Building Blocks	132.8	Building Blocks	116.3	Computer	282.1	Building Blocks	381.8	Building Area
763	Computer	99.6	Computer	116.8	Computer	83	Building Area	249	Building Blocks	82.8	Building Blocks	215.7	Building Blocks	464.7	Building Area
299.1	Building Area	99.5	Building Blocks	265.6	Computer	348.6	Building Area	149.7	Building Blocks	1161.9	Building Blocks	182.7	Building Blocks	132.7	Computer
348.9	Building Area	182.5	Building Blocks	199.4	Computer	83	Building Area	282.2	Building Area	1278.1	Building Area	265.2	Building Blocks	364.7	Computer
199.1	Computer	99.5	Building Blocks	116.3	Building Blocks	647.4	Building Area	198.9	Building Area	165.8	Building Area	199	Building Area	149.6	Computer
82.8	Computer	199.1	Building Blocks	812.7	Building Blocks	116.2	Building Area	115.7	Building Area	132.4	Building Area	364.9	Building Area	265.5	Computer
248.6	Computer	182.6	Computer	165.9	Building Blocks	332.2	Building Area	398.2	Building Area	1277.7	Building Area	199.4	Building Area	133	Computer
99.2	Computer	149.4	Computer	99.5	Building Area	132.7	Building Area	149.1	Computer	150	Computer	232.3	Building Area	116.1	Building Blocks
199.1	Computer	813.5	Building Area	647.2	Building Area	298.7	Computer	99.4	Computer	182.5	Computer	132.5	Computer	99.7	Building Blocks
364.9	Computer	414.7	Building Area	215.6	Building Area	165.9	Building Area	182.7	Computer	365	Computer	215.6	Computer	448	Building Blocks
99.9	Building Blocks	149.1	Building Area	182.6	Building Area	315.3	Building Area	232.6	Computer	249	Computer	332	Computer	249.4	Building Area
199.1	Computer	497.4	Building Area	1211.4	Building Area	132.8	Computer	82.9	Computer	82.8	Computer	315.3	Computer	348.5	Building Area
82.7	Computer	83.2	Building Area	116	Computer	298.9	Computer	182.7	Building Blocks	83	Building Blocks	83	Computer	232.7	Building Area
332	Computer	414.9	Building Area	265.2	Computer	382.2	Computer	132.4	Building Blocks	348.5	Building Blocks	99.5	Building Blocks	199.1	Building Area
116	Building Blocks	431.3	Building Area	299	Computer	116.3	Building Blocks	166.4	Building Area	797	Building Area	82.6	Building Blocks	331.7	Building Area
149.4	Building Blocks	149.6	Building Area	166.1	Computer	133.3	Building Blocks	431.4	Building Area	199.4	Building Area	149.4	Building Blocks	198.9	Computer
115.9	Building Blocks	564.3	Computer	66.4	Building Blocks	414.7	Building Blocks	116.2	Computer	464.9	Computer	248.8	Building Blocks	215.8	Computer
99.6	Building Blocks	331.9	Building Area	149.2	Building Blocks	99.7	Building Area	314.9	Computer	249	Computer	99.9	Building Area	282.3	Computer
99	Building Blocks	282.1	Building Area	348.5	Building Blocks	149.4	Building Area	265.8	Computer	99.8	Computer	813	Building Area	149.1	Building Blocks
348.6	Building Blocks	133.3	Computer	116	Building Area	580.8	Building Area	149.4	Building Blocks	116.1	Building Blocks	647.1	Computer	232.6	Building Blocks
133	Building Area	531.3	Computer	381.7	Building Area	132.7	Building Area	182.5	Building Blocks	248.6	Building Blocks	182.7	Computer	116.1	Building Blocks
165.8	Building Area	232.3	Computer	116	Computer	99.8	Computer	99.4	Computer	248.8	Building Blocks	182.8	Building Blocks	149.7	Building Blocks
165.5	Building Area	182.8	Computer	414.3	Computer	249.1	Computer	116.5	Building Blocks	83.2	Computer	149.7	Building Blocks	232.8	Building Blocks
232.2	Building Area	281.8	Computer	216	Computer	232.3	Computer	199.1	Building Blocks	83.1	Building Area	481.1	Building Blocks	116.4	Building Blocks
414.4	Building Area	82.6	Building Blocks	165.9	Computer	265.6	Computer	132.8	Building Blocks	215.3	Building Area	1095.3	Building Blocks	979.4	Building Blocks
149.1	Building Area	133.1	Building Blocks	215.3	Computer	414.9	Building Blocks	116.4	Building Blocks	995.8	Building Area	265.4	Building Area	182.5	Computer
215.5	Building Area	697	Building Blocks	348.3	Computer	83	Building Blocks	149.4	Building Blocks	166.2	Building Area	1626.5	Building Area	182.4	Building Area
414.6	Building Area	99.9	Building Blocks	132.7	Computer	83	Computer	382	Building Blocks	381.5	Building Area	1111.5	Building Area	149.7	Building Area
796.9	Building Area	231.8	Building Blocks	182.6	Building Blocks	182.6	Computer	481.1	Building Blocks	133.1	Building Area	697.1	Building Area	282.1	Building Area
265.9	Building Area	1659.7	Building Area	133.1	Building Blocks	382.1	Building Area	132.8	Computer	99.6	Computer	132.8	Computer	1609.7	Building Area
149.4	Building Area	414.6	Building Area	99.4	Building Blocks	99.7	Building Area	199.2	Building Area	298.6	Computer	431.6	Computer	215.3	Building Area
99.8	Computer	548	Building Area	166.1	Building Blocks	315.3	Building Area	282.1	Building Area	215.6	Computer	215.8	Computer	83.1	Building Blocks
132.9	Computer	846.1	Building Area	82.6	Building Blocks	99.9	Building Area	1012.7	Building Area	132.8	Computer	116.2	Computer	182.5	Computer
497.9	Computer	896.4	Building Area	99.2	Building Area	133.2	Building Blocks	1343.9	Building Area	99.8	Building Blocks	132.7	Building Blocks	166	Computer
414.9	Computer	1393.8	Building Area	730.6	Building Area	149.1	Computer	530.6	Computer	99.5	Building Blocks	132.7	Building Blocks	315.1	Computer
299	Computer	99.5	Computer	879	Building Area	66.8	Computer	182.5	Computer	415.5	Building Blocks	149.5	Building Blocks	116.1	Computer
149.5	Building Blocks	182.4	Computer	298.6	Building Area	281.9	Computer	182.5	Computer	431.8	Building Area	315.2	Building Blocks	165.8	Building Blocks
83.2	Building Blocks	116.4	Computer	83	Computer	149.3	Computer	132.6	Building Blocks	182.5	Computer	1012.4	Building Blocks	82.9	Building Blocks
232	Building Blocks	265.8	Computer	99.6	Computer	165.8	Building Blocks	99.6	Building Blocks	232.6	Computer	215.4	Building Area	315	Building Blocks
132.7	Building Blocks	116.3	Computer	232.5	Computer	99.5	Building Blocks	232.3	Building Blocks	116.1	Computer	216.2	Building Area	896.1	Building Blocks
149.6	Building Blocks	132.8	Building Blocks	299.1	Computer	315.3	Building Blocks	165.8	Building Blocks	348.8	Computer	182.1	Building Area	680.6	Building Area
